usare,esito,titolo,licenza,autore,descrizione,larghezza,altezza,url_immagine,pagina,tema
x,ok,"Liceo ""G. Bianchi Dottula"".jpg",CC0,Erebo.30,"Il liceo ""Giordano Bianchi Dottula"".",2560,1920,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Liceo_%22G._Bianchi_Dottula%22.jpg/1280px-Liceo_%22G._Bianchi_Dottula%22.jpg,https://commons.wikimedia.org/wiki/File:Liceo_%22G._Bianchi_Dottula%22.jpg,scuola
x,"ok, ma con vincolo",LIEUX - Kaiserhof School.jpg,CC BY-SA 4.0,Chevronical,The German-speaking hotel school - seen from the outside - Main entrance. South Tyrol. Meran.,4000,3000,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/LIEUX_-_Kaiserhof_School.jpg/1280px-LIEUX_-_Kaiserhof_School.jpg,https://commons.wikimedia.org/wiki/File:LIEUX_-_Kaiserhof_School.jpg,scuola
x,ok,Franca Viola - 1970.png,Public domain,Gazzetta di Mantova,Franca Viola,367,403,https://upload.wikimedia.org/wikipedia/commons/a/ae/Franca_Viola_-_1970.png,https://commons.wikimedia.org/wiki/File:Franca_Viola_-_1970.png,giornale
x,ok,La Sera.jpg,Public domain,Unknown authorUnknown author,"Thumbnail of front page of newspaper La Sera (Milan, Italy, 1892-1927) . Illegible except for title.",198,300,https://upload.wikimedia.org/wikipedia/commons/1/1b/La_Sera.jpg,https://commons.wikimedia.org/wiki/File:La_Sera.jpg,giornale
x,ok,"Lucifero, periodico repubblicano di Ancona, 24 giugno 1914.jpg",Public domain,sconosciuto,"Settimana Rossa - ""Lucifero"", periodico repubblicano di Ancona, 24 giugno 1914",351,559,https://upload.wikimedia.org/wikipedia/commons/d/dd/Lucifero%2C_periodico_repubblicano_di_Ancona%2C_24_giugno_1914.jpg,"https://commons.wikimedia.org/wiki/File:Lucifero,_periodico_repubblicano_di_Ancona,_24_giugno_1914.jpg",giornale
x,ok,"Prima Pagina L'Arena di Verona, 1866.jpg",Public domain,L'Arena di Verona,"Front page of The Arena of Verona, 1866",768,1055,https://upload.wikimedia.org/wikipedia/commons/9/95/Prima_Pagina_L%27Arena_di_Verona%2C_1866.jpg,"https://commons.wikimedia.org/wiki/File:Prima_Pagina_L%27Arena_di_Verona,_1866.jpg",giornale
x,ok,"Prometeo (1924,n3).jpg",Public domain,Unknown authorUnknown author,Copertina del mensile fondato da Amadeo Bordiga a Napoli nel 1924.,1785,2457,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Prometeo_%281924%2Cn3%29.jpg/1280px-Prometeo_%281924%2Cn3%29.jpg,"https://commons.wikimedia.org/wiki/File:Prometeo_(1924,n3).jpg",giornale
x,ok,Settimana Rossa - Corriere Adriatico processo a Malatesta.jpg,Public domain,sconosciuto,"""Corriere Adriatico"", esito del processo a Malatesta per la Settimana Rossa, it:1914",585,2064,https://upload.wikimedia.org/wikipedia/commons/1/1a/Settimana_Rossa_-_Corriere_Adriatico_processo_a_Malatesta.jpg,https://commons.wikimedia.org/wiki/File:Settimana_Rossa_-_Corriere_Adriatico_processo_a_Malatesta.jpg,giornale
x,ok,Settimana Rossa - L'Internazionale del 20 giugno 1914.jpg,Public domain,sconosciuto,"Settimana Rossa - ""L'Internazionale"" del 20 giugno it:1914",549,551,https://upload.wikimedia.org/wikipedia/commons/c/c6/Settimana_Rossa_-_L%27Internazionale_del_20_giugno_1914.jpg,https://commons.wikimedia.org/wiki/File:Settimana_Rossa_-_L%27Internazionale_del_20_giugno_1914.jpg,giornale
x,"ok, ma con vincolo",De-Wörterbuch.ogg,CC BY-SA 4.0,Jeuwre,"Pronunciation recording of German term ""Wörterbuch"", IPA: /ˈvœʁtɐˌbuːx/. Male voice, recorded by native German",0,0,https://commons.wikimedia.org/w/resources/assets/file-type-icons/fileicon-ogg.png,https://commons.wikimedia.org/wiki/File:De-W%C3%B6rterbuch.ogg,dizionario
x,"ok, ma con vincolo",1913 2013 ἐξέλασις mit Lenis.png,CC BY-SA 4.0,Villa loga-WB,"Karl Ernst Georges, Ausführliches lateinisch-deutsches Handwörterbuch. Bd. 1: A - H. 8., verbesserte und verme",1976,407,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/1913_2013_%E1%BC%90%CE%BE%CE%AD%CE%BB%CE%B1%CF%83%CE%B9%CF%82_mit_Lenis.png/1280px-1913_2013_%E1%BC%90%CE%BE%CE%AD%CE%BB%CE%B1%CF%83%CE%B9%CF%82_mit_Lenis.png,https://commons.wikimedia.org/wiki/File:1913_2013_%E1%BC%90%CE%BE%CE%AD%CE%BB%CE%B1%CF%83%CE%B9%CF%82_mit_Lenis.png,dizionario
x,ok,"A Dictionary of the Chinese Language, in Three Parts, Part II — Vol. I.djvu",Public domain,Robert Morrison,26,2840,3606,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/A_Dictionary_of_the_Chinese_Language%2C_in_Three_Parts%2C_Part_II_%E2%80%94_Vol._I.djvu/page1-1280px-A_Dictionary_of_the_Chinese_Language%2C_in_Three_Parts%2C_Part_II_%E2%80%94_Vol._I.djvu.jpg,"https://commons.wikimedia.org/wiki/File:A_Dictionary_of_the_Chinese_Language,_in_Three_Parts,_Part_II_%E2%80%94_Vol._I.djvu",dizionario
