scuola,sito,stato,certificato,iframe,tracker
saena-iulii,https://unpkg.com/leaflet@1.9.4/dist/leaflet.css,200,,permesso,
sant-anna-institute,https://www.sorrentolingue.com,200,,permesso,google-analytics
scudit-scuola-d-italiano,https://www.scudit.net,200,,permesso,
scuola-d-italiano-dante-alighieri-roma,https://clidante.it,200,,permesso,googletagmanager+gtag
scuola-dante-alighieri-campus-l-infinito,https://www.scuoladantealighieri.org,200,,permesso,googletagmanager+gtag
scuola-leonardo-da-vinci-firenze,https://www.leonardo-florence.com,200,,permesso,facebook.net+fbq+googletagmanager+gtag
scuola-leonardo-da-vinci-milano,https://www.leonardo-milan.com,200,,permesso,googletagmanager+gtag
scuola-leonardo-da-vinci-roma,https://www.scuolaleonardo.com,200,,permesso,
scuola-leonardo-da-vinci-viareggio,https://www.scuolaleonardo.com,200,,permesso,
scuola-palazzo-malvisi-bagno-di-romagna,https://www.scuolapalazzomalvisi.com,200,,permesso,
scuola-palazzo-malvisi-ravenna,https://www.scuolapalazzomalvisi.com,200,,permesso,
scuola-toscana,https://www.scuola-toscana.com,200,,permesso,facebook.net+googletagmanager+gtag
scuola-tricolore,https://www.scuolatricolore.it,dominio inesistente,,,
scuola-virgilio,https://www.scuolavirgilio.it,TLS non valido,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: ,,
societa-dante-alighieri-siena,https://www.dantealighieri.com,202,,permesso,
solemar-academy,https://solemar-academy.com,200,,vietato (SAMEORIGIN),google-analytics
solemar-sicilia,https://www.solemarsicilia.it,dominio inesistente,,,
sprachcaffe-firenze,https://www.sprachcaffe.com,200,,permesso,doubleclick+google-analytics+googletagmanager+gtag
studioitalia,https://accademiastudioitalia.com,200,,permesso,
studitalia,https://www.studitalia.com,200,,permesso,
terramare,https://www.terramare.it,irraggiungibile,[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violatio,,
tiberius-international,https://www.tiberius-international.com,200,,permesso,google-analytics+googletagmanager
torre-di-babele,https://www.torredibabele.com,200,,permesso,
trulli-italian-school,https://www.trullischool.com,200,,permesso,facebook.net+googletagmanager+gtag
universita-per-stranieri-dante-alighieri,https://www.unistrada.it,200,,permesso,
universita-per-stranieri-di-perugia,https://www.unistrapg.it,200,,vietato (SAMEORIGIN),googletagmanager
universita-per-stranieri-di-siena,https://www.unistrasi.it,200,,permesso,matomo
